CUSTID,SDATE,店舗,商品,数量,単価,小計
104581,2024-01-06,店舗1,商品12,7,194,1358
104581,2024-01-06,店舗1,商品12,3,194,582
104581,2024-01-06,店舗1,商品12,8,194,1552
104587,2024-01-06,店舗1,商品12,6,194,1164
104640,2024-01-06,店舗1,商品12,8,194,1552
104707,2024-01-06,店舗1,商品12,4,194,776
104882,2024-01-06,店舗1,商品12,2,194,388
105068,2024-01-06,店舗1,商品12,7,194,1358
105068,2024-01-06,店舗1,商品12,2,194,388
105521,2024-01-06,店舗1,商品12,6,194,1164
105656,2024-01-06,店舗1,商品12,9,194,1746
105716,2024-01-06,店舗1,商品12,6,194,1164
105768,2024-01-06,店舗1,商品12,5,194,970
105816,2024-01-06,店舗1,商品12,6,194,1164
100101,2024-01-06,店舗2,商品05,1,194,194
102627,2024-01-06,店舗2,商品07,2,172,344
103264,2024-01-06,店舗2,商品04,2,194,388
104443,2024-01-06,店舗2,商品08,1,194,194
104443,2024-01-06,店舗2,商品08,1,194,194
104443,2024-01-06,店舗2,商品08,2,194,388
104443,2024-01-06,店舗2,商品08,1,194,194
100058,2024-01-07,店舗1,商品12,5,194,970
100831,2024-01-07,店舗1,商品12,8,194,1552
100831,2024-01-07,店舗1,商品12,5,194,970
100853,2024-01-07,店舗1,商品12,6,194,1164
100892,2024-01-07,店舗1,商品12,5,194,970
101455,2024-01-07,店舗1,商品12,3,194,582
101748,2024-01-07,店舗1,商品12,4,194,776
101997,2024-01-07,店舗1,商品12,6,194,1164
101997,2024-01-07,店舗1,商品12,9,194,1746
102063,2024-01-07,店舗1,商品12,9,194,1746
102437,2024-01-07,店舗1,商品12,7,194,1358
103193,2024-01-07,店舗1,商品12,13,194,2522
103353,2024-01-07,店舗1,商品12,5,194,970
103394,2024-01-07,店舗1,商品12,9,194,1746
103762,2024-01-07,店舗1,商品12,4,194,776
103775,2024-01-07,店舗1,商品12,8,194,1552
104515,2024-01-07,店舗1,商品12,4,194,776
104826,2024-01-07,店舗1,商品12,9,194,1746
104942,2024-01-07,店舗1,商品12,6,194,1164
104976,2024-01-07,店舗1,商品12,5,194,970
104976,2024-01-07,店舗1,商品12,5,194,970
105010,2024-01-07,店舗1,商品11,1,594,594
105625,2024-01-07,店舗1,商品12,6,194,1164
105629,2024-01-07,店舗1,商品12,7,194,1358
100780,2024-01-07,店舗2,商品09,2,172,344
102306,2024-01-07,店舗2,商品09,1,172,172
102529,2024-01-07,店舗2,商品08,1,194,194
102529,2024-01-07,店舗2,商品08,2,194,388
102529,2024-01-07,店舗2,商品08,1,194,194
100382,2024-01-08,店舗1,商品12,3,194,582
100408,2024-01-08,店舗1,商品12,4,194,776
101105,2024-01-08,店舗1,商品12,7,194,1358
101105,2024-01-08,店舗1,商品12,2,194,388
101375,2024-01-08,店舗1,商品12,6,194,1164
101386,2024-01-08,店舗1,商品12,4,194,776
101427,2024-01-08,店舗1,商品12,5,194,970
101427,2024-01-08,店舗1,商品12,6,194,1164
101731,2024-01-08,店舗1,商品07,5,172,860
101731,2024-01-08,店舗1,商品07,4,172,688
101731,2024-01-08,店舗1,商品07,4,172,688
101755,2024-01-08,店舗1,商品12,4,194,776
101755,2024-01-08,店舗1,商品12,3,194,582
102045,2024-01-08,店舗1,商品12,4,194,776
102869,2024-01-08,店舗1,商品10,4,194,776
102869,2024-01-08,店舗1,商品10,4,194,776
102920,2024-01-08,店舗1,商品12,3,194,582
102920,2024-01-08,店舗1,商品12,6,194,1164
103031,2024-01-08,店舗1,商品12,6,194,1164
103433,2024-01-08,店舗1,商品01,4,172,688
103626,2024-01-08,店舗1,商品12,6,194,1164
104454,2024-01-08,店舗1,商品12,4,194,776
105068,2024-01-08,店舗1,商品12,3,194,582
105068,2024-01-08,店舗1,商品12,3,194,582
105068,2024-01-08,店舗1,商品12,7,194,1358
105307,2024-01-08,店舗1,商品12,4,194,776
105307,2024-01-08,店舗1,商品12,6,194,1164
105748,2024-01-08,店舗1,商品12,6,194,1164
101043,2024-01-08,店舗2,商品08,1,194,194
102279,2024-01-08,店舗2,商品05,1,194,194
102279,2024-01-08,店舗2,商品06,1,194,194
102738,2024-01-08,店舗2,商品06,1,194,194
104120,2024-01-08,店舗2,商品07,1,172,172
104120,2024-01-08,店舗2,商品07,1,172,172
104120,2024-01-08,店舗2,商品07,1,172,172
104120,2024-01-08,店舗2,商品07,1,172,172
104120,2024-01-08,店舗2,商品07,1,172,172
104120,2024-01-08,店舗2,商品07,1,172,172
104120,2024-01-08,店舗2,商品07,1,172,172
104120,2024-01-08,店舗2,商品07,1,172,172
104725,2024-01-08,店舗2,商品04,1,194,194
104725,2024-01-08,店舗2,商品04,1,194,194
105667,2024-01-08,店舗2,商品06,1,194,194
105667,2024-01-08,店舗2,商品09,1,172,172
101897,2024-01-09,店舗1,商品12,3,194,582
101897,2024-01-09,店舗1,商品12,3,194,582
102600,2024-01-09,店舗1,商品12,3,194,582
102997,2024-01-09,店舗1,商品12,4,194,776
103613,2024-01-09,店舗1,商品07,4,172,688
104515,2024-01-09,店舗1,商品12,5,194,970
104515,2024-01-09,店舗1,商品12,3,194,582
105755,2024-01-09,店舗1,商品12,4,194,776
105755,2024-01-09,店舗1,商品12,6,194,1164
105907,2024-01-09,店舗1,商品12,3,194,582
100198,2024-01-09,店舗2,商品08,4,194,776
100985,2024-01-09,店舗2,商品09,4,172,688
101169,2024-01-09,店舗2,商品08,4,194,776
102038,2024-01-09,店舗2,商品08,3,194,582
102103,2024-01-09,店舗2,商品09,3,172,516
102586,2024-01-09,店舗2,商品07,3,172,516
103560,2024-01-09,店舗2,商品04,2,194,388
103898,2024-01-09,店舗2,商品04,2,194,388
104036,2024-01-09,店舗2,商品04,3,194,582
104604,2024-01-09,店舗2,商品08,2,194,388
104942,2024-01-09,店舗2,商品09,2,172,344
104942,2024-01-09,店舗2,商品09,3,172,516
105677,2024-01-09,店舗2,商品06,3,194,582
100949,2024-01-10,店舗1,商品12,4,194,776
101209,2024-01-10,店舗1,商品12,3,194,582
101564,2024-01-10,店舗1,商品11,1,594,594
101564,2024-01-10,店舗1,商品11,2,594,1188
102941,2024-01-10,店舗1,商品10,8,194,1552
103443,2024-01-10,店舗1,商品12,6,194,1164
103705,2024-01-10,店舗1,商品12,4,194,776
103995,2024-01-10,店舗1,商品12,5,194,970
104091,2024-01-10,店舗1,商品12,9,194,1746
100532,2024-01-10,店舗2,商品07,2,172,344
101028,2024-01-10,店舗2,商品08,4,194,776
101405,2024-01-10,店舗2,商品09,2,172,344
101841,2024-01-10,店舗2,商品09,2,172,344
102052,2024-01-10,店舗2,商品09,4,172,688
102697,2024-01-10,店舗2,商品09,3,172,516
103563,2024-01-10,店舗2,商品05,2,194,388
103702,2024-01-10,店舗2,商品09,3,172,516
103702,2024-01-10,店舗2,商品09,2,172,344
103702,2024-01-10,店舗2,商品09,3,172,516
104834,2024-01-10,店舗2,商品01,3,172,516
105477,2024-01-10,店舗2,商品09,3,172,516
105749,2024-01-10,店舗2,商品09,3,172,516
105780,2024-01-10,店舗2,商品07,1,172,172
100422,2024-01-11,店舗1,商品12,3,194,582
100422,2024-01-11,店舗1,商品12,5,194,970
101175,2024-01-11,店舗1,商品12,1,194,194
101389,2024-01-11,店舗1,商品12,3,194,582
102757,2024-01-11,店舗1,商品12,4,194,776
102757,2024-01-11,店舗1,商品12,6,194,1164
104087,2024-01-11,店舗1,商品12,3,194,582
104087,2024-01-11,店舗1,商品12,3,194,582
104253,2024-01-11,店舗1,商品12,2,194,388
104253,2024-01-11,店舗1,商品12,4,194,776
104867,2024-01-11,店舗1,商品12,3,194,582
105231,2024-01-11,店舗1,商品12,1,194,194
100587,2024-01-11,店舗2,商品09,2,172,344
100750,2024-01-11,店舗2,商品07,3,172,516
101225,2024-01-11,店舗2,商品09,2,172,344
101403,2024-01-11,店舗2,商品09,2,172,344
101403,2024-01-11,店舗2,商品09,2,172,344
101726,2024-01-11,店舗2,商品07,3,172,516
103049,2024-01-11,店舗2,商品04,1,194,194
103157,2024-01-11,店舗2,商品06,2,194,388
103980,2024-01-11,店舗2,商品09,2,172,344
103980,2024-01-11,店舗2,商品10,2,194,388
104087,2024-01-11,店舗2,商品06,2,194,388
104087,2024-01-11,店舗2,商品06,3,194,582
104120,2024-01-11,店舗2,商品04,2,194,388
104120,2024-01-11,店舗2,商品07,4,172,688
104229,2024-01-11,店舗2,商品07,4,172,688
101936,2024-01-12,店舗1,商品12,5,194,970
102410,2024-01-12,店舗1,商品12,6,194,1164
102552,2024-01-12,店舗1,商品12,4,194,776
102641,2024-01-12,店舗1,商品12,9,194,1746
102642,2024-01-12,店舗1,商品12,4,194,776
104114,2024-01-12,店舗1,商品05,4,194,776
104596,2024-01-12,店舗1,商品12,7,194,1358
105005,2024-01-12,店舗1,商品12,6,194,1164
105194,2024-01-12,店舗1,商品12,7,194,1358
105667,2024-01-12,店舗1,商品12,7,194,1358
100921,2024-01-12,店舗2,商品08,2,194,388
102207,2024-01-12,店舗2,商品07,4,172,688
102217,2024-01-12,店舗2,商品09,1,172,172
103800,2024-01-12,店舗2,商品04,2,194,388
103800,2024-01-12,店舗2,商品04,3,194,582
104574,2024-01-12,店舗2,商品07,2,172,344
104623,2024-01-12,店舗2,商品04,3,194,582
104761,2024-01-12,店舗2,商品05,2,194,388
104867,2024-01-12,店舗2,商品01,4,172,688
105360,2024-01-12,店舗2,商品08,4,194,776
105682,2024-01-12,店舗2,商品06,5,194,970
105708,2024-01-12,店舗2,商品07,2,172,344
105708,2024-01-12,店舗2,商品07,2,172,344
105768,2024-01-12,店舗2,商品09,3,172,516
100331,2024-01-13,店舗1,商品12,9,194,1746
100511,2024-01-13,店舗1,商品12,5,194,970
100511,2024-01-13,店舗1,商品12,6,194,1164
101349,2024-01-13,店舗1,商品12,5,194,970
101427,2024-01-13,店舗1,商品12,8,194,1552
101450,2024-01-13,店舗1,商品12,4,194,776
101560,2024-01-13,店舗1,商品12,10,194,1940
101781,2024-01-13,店舗1,商品12,4,194,776
101888,2024-01-13,店舗1,商品12,7,194,1358
101888,2024-01-13,店舗1,商品12,6,194,1164
101992,2024-01-13,店舗1,商品12,6,194,1164
102143,2024-01-13,店舗1,商品12,8,194,1552
102217,2024-01-13,店舗1,商品12,9,194,1746
102561,2024-01-13,店舗1,商品12,8,194,1552
102913,2024-01-13,店舗1,商品12,7,194,1358
103308,2024-01-13,店舗1,商品12,5,194,970
103730,2024-01-13,店舗1,商品12,5,194,970
103939,2024-01-13,店舗1,商品12,5,194,970
103939,2024-01-13,店舗1,商品12,7,194,1358
104256,2024-01-13,店舗1,商品12,6,194,1164
104337,2024-01-13,店舗1,商品12,4,194,776
104769,2024-01-13,店舗1,商品12,6,194,1164
104867,2024-01-13,店舗1,商品10,10,194,1940
104948,2024-01-13,店舗1,商品12,13,194,2522
105325,2024-01-13,店舗1,商品12,6,194,1164
101634,2024-01-13,店舗2,商品08,4,194,776
102149,2024-01-13,店舗2,商品07,2,172,344
104373,2024-01-13,店舗2,商品05,2,194,388
104640,2024-01-13,店舗2,商品08,2,194,388
100464,2024-01-14,店舗1,商品12,6,194,1164
100534,2024-01-14,店舗1,商品12,9,194,1746
100575,2024-01-14,店舗1,商品12,5,194,970
100685,2024-01-14,店舗1,商品07,6,172,1032
100685,2024-01-14,店舗1,商品07,4,172,688
101375,2024-01-14,店舗1,商品12,6,194,1164
101475,2024-01-14,店舗1,商品12,6,194,1164
101475,2024-01-14,店舗1,商品12,10,194,1940
102771,2024-01-14,店舗1,商品12,5,194,970
102771,2024-01-14,店舗1,商品12,5,194,970
103285,2024-01-14,店舗1,商品12,4,194,776
103412,2024-01-14,店舗1,商品12,11,194,2134
103797,2024-01-14,店舗1,商品01,5,172,860
103881,2024-01-14,店舗1,商品12,4,194,776
104075,2024-01-14,店舗1,商品12,7,194,1358
104295,2024-01-14,店舗1,商品12,4,194,776
104379,2024-01-14,店舗1,商品12,8,194,1552
104751,2024-01-14,店舗1,商品12,7,194,1358
104913,2024-01-14,店舗1,商品12,4,194,776
105214,2024-01-14,店舗1,商品12,6,194,1164
105740,2024-01-14,店舗1,商品10,4,194,776
105740,2024-01-14,店舗1,商品10,16,194,3104
105964,2024-01-14,店舗1,商品01,6,172,1032
105967,2024-01-14,店舗1,商品12,8,194,1552
102865,2024-01-14,店舗2,商品04,1,194,194
103123,2024-01-14,店舗2,商品08,2,194,388
104225,2024-01-14,店舗2,商品08,3,194,582
101216,2024-01-15,店舗1,商品12,2,194,388
103098,2024-01-15,店舗1,商品12,2,194,388
103563,2024-01-15,店舗1,商品12,3,194,582
103892,2024-01-15,店舗1,商品12,4,194,776
104026,2024-01-15,店舗1,商品12,2,194,388
104026,2024-01-15,店舗1,商品12,2,194,388
104026,2024-01-15,店舗1,商品12,4,194,776
105041,2024-01-15,店舗1,商品12,4,194,776
105104,2024-01-15,店舗1,商品12,3,194,582
105104,2024-01-15,店舗1,商品12,4,194,776
105104,2024-01-15,店舗1,商品12,3,194,582
105104,2024-01-15,店舗1,商品12,2,194,388
100074,2024-01-15,店舗2,商品08,3,194,582
100074,2024-01-15,店舗2,商品08,2,194,388
101304,2024-01-15,店舗2,商品07,3,172,516
101304,2024-01-15,店舗2,商品07,3,172,516
101781,2024-01-15,店舗2,商品10,2,194,388
101925,2024-01-15,店舗2,商品08,3,194,582
102485,2024-01-15,店舗2,商品04,4,194,776
102485,2024-01-15,店舗2,商品06,3,194,582
102551,2024-01-15,店舗2,商品07,2,172,344
103084,2024-01-15,店舗2,商品06,3,194,582
103373,2024-01-15,店舗2,商品09,2,172,344
104029,2024-01-15,店舗2,商品08,3,194,582
105598,2024-01-15,店舗2,商品01,2,172,344
105755,2024-01-15,店舗2,商品03,1,421,421
105948,2024-01-15,店舗2,商品10,1,194,194
100067,2024-01-16,店舗1,商品12,2,194,388
100720,2024-01-16,店舗1,商品12,2,194,388
101213,2024-01-16,店舗1,商品12,3,194,582
101213,2024-01-16,店舗1,商品12,5,194,970
101213,2024-01-16,店舗1,商品12,4,194,776
103097,2024-01-16,店舗1,商品12,2,194,388
103980,2024-01-16,店舗1,商品05,3,194,582
103980,2024-01-16,店舗1,商品05,3,194,582
103980,2024-01-16,店舗1,商品05,6,194,1164
104790,2024-01-16,店舗1,商品12,3,194,582
105322,2024-01-16,店舗1,商品12,3,194,582
100244,2024-01-16,店舗2,商品08,2,194,388
101043,2024-01-16,店舗2,商品04,1,194,194
102155,2024-01-16,店舗2,商品05,2,194,388
102288,2024-01-16,店舗2,商品09,4,172,688
102288,2024-01-16,店舗2,商品09,3,172,516
102757,2024-01-16,店舗2,商品07,3,172,516
102839,2024-01-16,店舗2,商品04,2,194,388
102839,2024-01-16,店舗2,商品04,4,194,776
103049,2024-01-16,店舗2,商品04,3,194,582
103564,2024-01-16,店舗2,商品08,2,194,388
104030,2024-01-16,店舗2,商品07,2,172,344
104030,2024-01-16,店舗2,商品09,3,172,516
104258,2024-01-16,店舗2,商品10,3,194,582
104373,2024-01-16,店舗2,商品05,1,194,194
105206,2024-01-16,店舗2,商品09,2,172,344
100120,2024-01-17,店舗1,商品12,2,194,388
100234,2024-01-17,店舗1,商品12,1,194,194
101558,2024-01-17,店舗1,商品12,1,194,194
101579,2024-01-17,店舗1,商品12,1,194,194
101579,2024-01-17,店舗1,商品12,1,194,194
101579,2024-01-17,店舗1,商品12,2,194,388
101579,2024-01-17,店舗1,商品12,3,194,582
101579,2024-01-17,店舗1,商品12,1,194,194
101579,2024-01-17,店舗1,商品12,1,194,194
101579,2024-01-17,店舗1,商品12,1,194,194
101579,2024-01-17,店舗1,商品12,2,194,388
101579,2024-01-17,店舗1,商品12,1,194,194
101579,2024-01-17,店舗1,商品12,2,194,388
101579,2024-01-17,店舗1,商品12,2,194,388
101579,2024-01-17,店舗1,商品12,1,194,194
101579,2024-01-17,店舗1,商品12,1,194,194
101579,2024-01-17,店舗1,商品12,1,194,194
101579,2024-01-17,店舗1,商品12,2,194,388
101579,2024-01-17,店舗1,商品12,2,194,388
101579,2024-01-17,店舗1,商品12,3,194,582
101579,2024-01-17,店舗1,商品12,2,194,388
101579,2024-01-17,店舗1,商品12,1,194,194
101579,2024-01-17,店舗1,商品12,1,194,194
103001,2024-01-17,店舗1,商品12,1,194,194
104149,2024-01-17,店舗1,商品12,2,194,388
104285,2024-01-17,店舗1,商品12,1,194,194
105141,2024-01-17,店舗1,商品12,1,194,194
100297,2024-01-17,店舗2,商品07,3,172,516
100713,2024-01-17,店舗2,商品09,2,172,344
101355,2024-01-17,店舗2,商品08,2,194,388
101482,2024-01-17,店舗2,商品04,1,194,194
103156,2024-01-17,店舗2,商品04,3,194,582
103166,2024-01-17,店舗2,商品09,1,172,172
104075,2024-01-17,店舗2,商品09,5,172,860
104087,2024-01-17,店舗2,商品04,1,194,194
104120,2024-01-17,店舗2,商品05,2,194,388
104300,2024-01-17,店舗2,商品06,3,194,582
104300,2024-01-17,店舗2,商品06,2,194,388
104300,2024-01-17,店舗2,商品09,2,172,344
104300,2024-01-17,店舗2,商品09,2,172,344
105228,2024-01-17,店舗2,商品02,1,297,297
105611,2024-01-17,店舗2,商品04,4,194,776
105611,2024-01-17,店舗2,商品06,3,194,582
105611,2024-01-17,店舗2,商品09,1,172,172
100154,2024-01-18,店舗1,商品07,10,172,1720
100585,2024-01-18,店舗1,商品12,5,194,970
100774,2024-01-18,店舗1,商品12,5,194,970
102826,2024-01-18,店舗1,商品12,5,194,970
103037,2024-01-18,店舗1,商品12,3,194,582
103361,2024-01-18,店舗1,商品12,7,194,1358
103768,2024-01-18,店舗1,商品12,3,194,582
105068,2024-01-18,店舗1,商品12,4,194,776
100046,2024-01-18,店舗2,商品01,2,172,344
101005,2024-01-18,店舗2,商品01,3,172,516
101564,2024-01-18,店舗2,商品05,3,194,582
101780,2024-01-18,店舗2,商品03,1,421,421
102728,2024-01-18,店舗2,商品07,3,172,516
102728,2024-01-18,店舗2,商品07,3,172,516
103034,2024-01-18,店舗2,商品09,4,172,688
103034,2024-01-18,店舗2,商品09,3,172,516
103560,2024-01-18,店舗2,商品01,3,172,516
103657,2024-01-18,店舗2,商品03,1,421,421
104474,2024-01-18,店舗2,商品07,4,172,688
104623,2024-01-18,店舗2,商品04,2,194,388
105423,2024-01-18,店舗2,商品04,4,194,776
105658,2024-01-18,店舗2,商品01,2,172,344
100177,2024-01-19,店舗1,商品12,6,194,1164
100177,2024-01-19,店舗1,商品12,2,194,388
100501,2024-01-19,店舗1,商品12,2,194,388
101009,2024-01-19,店舗1,商品12,4,194,776
101375,2024-01-19,店舗1,商品12,4,194,776
102437,2024-01-19,店舗1,商品12,5,194,970
104085,2024-01-19,店舗1,商品12,5,194,970
104356,2024-01-19,店舗1,商品12,4,194,776
104356,2024-01-19,店舗1,商品12,4,194,776
105939,2024-01-19,店舗1,商品12,5,194,970
105941,2024-01-19,店舗1,商品12,4,194,776
105941,2024-01-19,店舗1,商品12,7,194,1358
100008,2024-01-19,店舗2,商品09,3,172,516
100564,2024-01-19,店舗2,商品08,3,194,582
100564,2024-01-19,店舗2,商品09,3,172,516
102845,2024-01-19,店舗2,商品09,3,172,516
103014,2024-01-19,店舗2,商品08,2,194,388
103214,2024-01-19,店舗2,商品03,1,421,421
103511,2024-01-19,店舗2,商品07,4,172,688
103724,2024-01-19,店舗2,商品08,2,194,388
103797,2024-01-19,店舗2,商品07,2,172,344
103912,2024-01-19,店舗2,商品01,2,172,344
104571,2024-01-19,店舗2,商品08,5,194,970
105498,2024-01-19,店舗2,商品04,4,194,776
105809,2024-01-19,店舗2,商品09,5,172,860
100484,2024-01-20,店舗1,商品12,4,194,776
100484,2024-01-20,店舗1,商品12,7,194,1358
100484,2024-01-20,店舗1,商品12,9,194,1746
100484,2024-01-20,店舗1,商品12,5,194,970
100513,2024-01-20,店舗1,商品12,5,194,970
100570,2024-01-20,店舗1,商品12,7,194,1358
100682,2024-01-20,店舗1,商品12,5,194,970
100682,2024-01-20,店舗1,商品12,7,194,1358
100938,2024-01-20,店舗1,商品12,6,194,1164
